
S&P 500 INDEX,Last: 7489.7202,Change:  52.0902
Date: 3 August 2026 at 05:22 GMT-4,Bid: 7440.8301,Ask: 7519.0498,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Aug 03 2026,SPXW260803C03000000,0,0,4514.8,4538.8,0,0,1,0,0,3000.00,SPXW260803P03000000,0.05,0,0,0.05,0,6.9599,0,0,12
Mon Aug 03 2026,SPXW260803C03200000,0,0,4314.8,4338.8,0,8.4702,1,0,0,3200.00,SPXW260803P03200000,0.1,0,0,0.05,0,6.4866,0,0,58
Mon Aug 03 2026,SPXW260803C03400000,0,0,4114.7,4138.7,0,7.8188,1,0,0,3400.00,SPXW260803P03400000,0,0,0,0.05,0,6.0419,0,0,0
Mon Aug 03 2026,SPXW260803C03600000,3900.85,58.1,3914.7,3938.7,1,7.2863,1,0,1,3600.00,SPXW260803P03600000,0.1,0,0,0.05,0,5.6224,0,0,17
Mon Aug 03 2026,SPXW260803C03800000,0,0,3714.7,3738.7,0,6.7822,1,0,0,3800.00,SPXW260803P03800000,0.05,0,0,0.05,0,5.2255,0,0,1
Mon Aug 03 2026,SPXW260803C04000000,0,0,3514.8,3538.8,0,6.3706,1,0,0,4000.00,SPXW260803P04000000,0.1,0.025,0,0.05,0,4.8483,0,0,848
Mon Aug 03 2026,SPXW260803C04200000,0,0,3314.8,3338.8,0,5.9099,1,0,0,4200.00,SPXW260803P04200000,0.05,0,0,0.05,0,4.489,0,0,58
Mon Aug 03 2026,SPXW260803C04400000,0,0,3114.7,3138.7,0,5.4108,1,0,0,4400.00,SPXW260803P04400000,0.05,0,0,0.05,0,4.1455,0,0,111
Mon Aug 03 2026,SPXW260803C04600000,0,0,2914.8,2938.8,0,5.0479,1,0,0,4600.00,SPXW260803P04600000,0.05,0,0,0.05,0,3.8174,0,0,83
Mon Aug 03 2026,SPXW260803C04800000,2644.21,30.1801,2714.8,2738.8,1,4.6428,1,0,1,4800.00,SPXW260803P04800000,0.05,0,0,0.05,0,3.5022,0,0,607
Mon Aug 03 2026,SPXW260803C05000000,0,0,2514.7,2538.7,0,4.2054,1,0,0,5000.00,SPXW260803P05000000,0.04,0.025,0,0.05,1500,3.1991,0,0,2586
Mon Aug 03 2026,SPXW260803C05200000,2259.13,16.38,2314.7,2338.7,14,3.8326,1,0,8,5200.00,SPXW260803P05200000,0.05,0,0,0.05,0,2.9069,0,0,82
Mon Aug 03 2026,SPXW260803C05400000,0,0,2114.8,2138.8,0,3.5119,0.9998,0,0,5400.00,SPXW260803P05400000,0.05,0,0,0.05,0,2.6246,-0.0002,0,1561
Mon Aug 03 2026,SPXW260803C05600000,1884.3,41.2,1914.7,1938.7,2,3.1224,0.9998,0,2,5600.00,SPXW260803P05600000,0.03,0,0,0.05,0,2.3518,-0.0002,0,748
Mon Aug 03 2026,SPXW260803C05800000,0,0,1714.8,1738.8,0,2.8159,0.9998,0,0,5800.00,SPXW260803P05800000,0.03,0.005,0,0.05,1,2.0872,-0.0002,0,482
Mon Aug 03 2026,SPXW260803C05900000,1545.38,1.53,1614.7,1638.7,1,2.6163,0.9998,0,1,5900.00,SPXW260803P05900000,0.1,0,0,0.05,0,1.9576,-0.0002,0,2865
Mon Aug 03 2026,SPXW260803C06000000,1467.65,24,1514.7,1538.7,7,2.4519,0.9998,0,7,6000.00,SPXW260803P06000000,0.05,-0.025,0,0.05,7,1.83,-0.0002,0,1504
Mon Aug 03 2026,SPXW260803C06100000,1399.6,0,1414.8,1438.8,0,2.3177,0.9998,0,2,6100.00,SPXW260803P06100000,0.05,0,0,0.05,0,1.7041,-0.0002,0,2997
Mon Aug 03 2026,SPXW260803C06200000,0,0,1314.7,1338.7,0,2.1289,0.9997,0,0,6200.00,SPXW260803P06200000,0.05,-0.025,0,0.05,4292,1.5799,-0.0003,0,5052
Mon Aug 03 2026,SPXW260803C06300000,0,0,1214.7,1238.7,0,1.97,0.9997,0,0,6300.00,SPXW260803P06300000,0.05,-0.025,0,0.05,3431,1.4572,-0.0003,0,3851
Mon Aug 03 2026,SPXW260803C06325000,0,0,1189.8,1213.8,0,1.9549,0.9997,0,0,6325.00,SPXW260803P06325000,0.05,-0.05,0,0.05,2382,1.4267,-0.0003,0,2353
Mon Aug 03 2026,SPXW260803C06350000,0,0,1164.8,1188.8,0,1.9151,0.9997,0,0,6350.00,SPXW260803P06350000,0.03,-0.07,0,0.05,228,1.3963,-0.0003,0,228
Mon Aug 03 2026,SPXW260803C06375000,0,0,1139.7,1163.7,0,1.8517,0.9997,0,0,6375.00,SPXW260803P06375000,0.05,-0.05,0,0.05,252,1.366,-0.0003,0,526
Mon Aug 03 2026,SPXW260803C06400000,0,0,1114.8,1138.8,0,1.8357,0.9997,0,0,6400.00,SPXW260803P06400000,0.05,-0.05,0,0.05,414,1.3358,-0.0003,0,864
Mon Aug 03 2026,SPXW260803C06425000,0,0,1089.8,1113.8,0,1.7961,0.9997,0,0,6425.00,SPXW260803P06425000,0.05,-0.05,0,0.05,212,1.3057,-0.0003,0,671
Mon Aug 03 2026,SPXW260803C06450000,995.76,1.81,1064.8,1088.8,8,1.7566,0.9997,0,9,6450.00,SPXW260803P06450000,0.05,-0.05,0,0.05,340,1.2756,-0.0003,0,462
Mon Aug 03 2026,SPXW260803C06475000,940.14,0,1039.8,1063.8,0,1.7172,0.9997,0,3,6475.00,SPXW260803P06475000,0.05,-0.075,0,0.05,85,1.2457,-0.0003,0,195
Mon Aug 03 2026,SPXW260803C06500000,917.11,0,1014.7,1038.7,0,1.6563,0.9997,0,0,6500.00,SPXW260803P06500000,0.05,-0.075,0,0.05,794,1.2158,-0.0003,0,1980
Mon Aug 03 2026,SPXW260803C06525000,892.94,0,989.8,1013.8,0,1.6386,0.9997,0,1,6525.00,SPXW260803P06525000,0.05,-0.075,0,0.05,330,1.186,-0.0003,0,808
Mon Aug 03 2026,SPXW260803C06550000,868.32,0,964.8,988.8,0,1.5994,0.9997,0,3,6550.00,SPXW260803P06550000,0.05,-0.075,0,0.05,14,1.1562,-0.0003,0,138
Mon Aug 03 2026,SPXW260803C06575000,0,0,939.8,963.8,0,1.5602,0.9996,0,0,6575.00,SPXW260803P06575000,0.05,-0.1,0,0.05,84,1.1266,-0.0004,0,85
Mon Aug 03 2026,SPXW260803C06600000,883.93,40.28,914.8,938.8,1,1.5212,0.9996,0,1,6600.00,SPXW260803P06600000,0.05,-0.075,0,0.05,736,1.097,-0.0004,0,1050
Mon Aug 03 2026,SPXW260803C06625000,0,0,889.8,913.8,0,1.4822,0.9996,0,0,6625.00,SPXW260803P06625000,0.05,-0.1,0,0.05,146,1.0674,-0.0004,0,249
